*** pb_1000rnd0200.dat ****
VALUE KNAP: 47.00
VALUE MINKNAP: 47.00
VALUE KNAP: 40.17
VALUE MINKNAP: 40.17
VALUE KNAP: 40.67
VALUE MINKNAP: 40.67
VALUE KNAP: 40.18
VALUE MINKNAP: 40.18
VALUE KNAP: 40.15
VALUE MINKNAP: 40.15
VALUE KNAP: 35.73
VALUE MINKNAP: 35.73
VALUE KNAP: 36.11
VALUE MINKNAP: 36.11
VALUE KNAP: 32.33
VALUE MINKNAP: 32.33
VALUE MINKNAP: 33.87
VALUE KNAP: 34.81
VALUE MINKNAP: 34.81
VALUE KNAP: 31.76
VALUE MINKNAP: 31.76
VALUE KNAP: 34.65
VALUE MINKNAP: 34.65
VALUE KNAP: 30.90
VALUE MINKNAP: 30.90
VALUE KNAP: 31.31
VALUE MINKNAP: 31.31
VALUE KNAP: 33.38
VALUE MINKNAP: 33.38
VALUE KNAP: 30.33
VALUE MINKNAP: 30.33
VALUE KNAP: 31.03
VALUE MINKNAP: 31.03
VALUE KNAP: 29.24
VALUE MINKNAP: 29.24
VALUE KNAP: 28.97
VALUE MINKNAP: 28.97
VALUE KNAP: 29.81
VALUE MINKNAP: 29.81
VALUE KNAP: 28.13
VALUE MINKNAP: 28.13
VALUE KNAP: 28.34
VALUE MINKNAP: 28.34
VALUE KNAP: 28.86
VALUE MINKNAP: 28.86
VALUE KNAP: 29.38
VALUE MINKNAP: 29.38
VALUE KNAP: 27.80
VALUE MINKNAP: 27.80
VALUE MINKNAP: 28.42
VALUE KNAP: 28.87
VALUE MINKNAP: 28.87
VALUE KNAP: 27.45
VALUE MINKNAP: 27.45
VALUE KNAP: 27.01
VALUE MINKNAP: 27.01
VALUE KNAP: 27.50
VALUE MINKNAP: 27.50
VALUE KNAP: 26.42
VALUE MINKNAP: 26.42
VALUE KNAP: 26.31
VALUE MINKNAP: 26.31
VALUE KNAP: 26.84
VALUE MINKNAP: 26.84
VALUE KNAP: 26.09
VALUE MINKNAP: 26.09
VALUE MINKNAP: 26.08
VALUE KNAP: 25.93
VALUE MINKNAP: 25.93
VALUE KNAP: 25.36
VALUE MINKNAP: 25.36
VALUE KNAP: 25.19
VALUE MINKNAP: 25.19
VALUE KNAP: 25.05
VALUE MINKNAP: 25.05
VALUE KNAP: 25.17
VALUE MINKNAP: 25.17
VALUE KNAP: 25.08
VALUE MINKNAP: 25.08
VALUE KNAP: 25.04
VALUE MINKNAP: 25.04
VALUE KNAP: 24.75
VALUE MINKNAP: 24.75
VALUE KNAP: 24.70
VALUE MINKNAP: 24.69
VALUE KNAP: 24.64
VALUE MINKNAP: 24.64
VALUE KNAP: 24.69
VALUE MINKNAP: 24.69
VALUE KNAP: 24.54
VALUE MINKNAP: 24.54
VALUE KNAP: 24.49
VALUE MINKNAP: 24.49
VALUE KNAP: 24.41
VALUE MINKNAP: 24.40
VALUE KNAP: 24.38
VALUE MINKNAP: 24.38
VALUE KNAP: 24.30
VALUE MINKNAP: 24.30
VALUE KNAP: 24.35
VALUE MINKNAP: 24.35
VALUE KNAP: 24.27
VALUE MINKNAP: 24.27
VALUE KNAP: 24.22
VALUE MINKNAP: 24.22
VALUE KNAP: 24.21
VALUE MINKNAP: 24.21
VALUE KNAP: 24.18
VALUE MINKNAP: 24.18
VALUE KNAP: 24.18
VALUE MINKNAP: 24.18
VALUE KNAP: 24.15
VALUE MINKNAP: 24.15
VALUE KNAP: 24.14
VALUE MINKNAP: 24.14
VALUE KNAP: 24.12
VALUE MINKNAP: 24.12
VALUE KNAP: 24.10
VALUE MINKNAP: 24.10
VALUE KNAP: 24.09
VALUE MINKNAP: 24.09
VALUE KNAP: 24.09
VALUE MINKNAP: 24.09
VALUE KNAP: 24.08
VALUE MINKNAP: 24.08
VALUE KNAP: 24.07
VALUE MINKNAP: 24.07
VALUE KNAP: 24.07
VALUE MINKNAP: 24.07
VALUE KNAP: 24.06
VALUE MINKNAP: 24.06
VALUE KNAP: 24.06
VALUE MINKNAP: 24.06
VALUE KNAP: 24.05
VALUE MINKNAP: 24.05
VALUE KNAP: 24.05
VALUE MINKNAP: 24.05
VALUE KNAP: 24.04
VALUE MINKNAP: 24.04
VALUE KNAP: 24.04
VALUE MINKNAP: 24.04
VALUE KNAP: 24.04
VALUE MINKNAP: 24.04
VALUE KNAP: 24.04
VALUE MINKNAP: 24.04
VALUE KNAP: 24.03
VALUE MINKNAP: 24.03
VALUE KNAP: 24.04
VALUE MINKNAP: 24.03
VALUE KNAP: 24.03
VALUE MINKNAP: 24.03
VALUE KNAP: 24.03
VALUE MINKNAP: 24.03
VALUE KNAP: 24.03
VALUE MINKNAP: 24.03
VALUE KNAP: 24.03
VALUE MINKNAP: 24.03
VALUE KNAP: 24.03
VALUE MINKNAP: 24.03
VALUE KNAP: 24.02
VALUE MINKNAP: 24.02
VALUE KNAP: 24.02
VALUE MINKNAP: 24.02
VALUE KNAP: 24.03
VALUE MINKNAP: 24.03
VALUE KNAP: 24.02
VALUE MINKNAP: 24.02
VALUE KNAP: 24.02
VALUE MINKNAP: 24.02
VALUE KNAP: 24.02
VALUE MINKNAP: 24.02
VALUE KNAP: 24.02
VALUE MINKNAP: 24.02
