*** pb_500rnd1600.dat ****
VALUE KNAP: 200.00
VALUE MINKNAP: 200.00
VALUE KNAP: 203.51
VALUE MINKNAP: 203.51
VALUE KNAP: 215.56
VALUE MINKNAP: 215.56
VALUE KNAP: 208.60
VALUE MINKNAP: 208.60
VALUE KNAP: 207.03
VALUE MINKNAP: 207.03
VALUE KNAP: 207.08
VALUE MINKNAP: 207.08
VALUE KNAP: 200.67
VALUE MINKNAP: 200.67
VALUE KNAP: 195.90
VALUE MINKNAP: 195.90
VALUE KNAP: 168.22
VALUE MINKNAP: 168.22
VALUE KNAP: 154.53
VALUE MINKNAP: 154.53
VALUE KNAP: 146.18
VALUE MINKNAP: 146.18
VALUE KNAP: 141.94
VALUE MINKNAP: 141.94
VALUE KNAP: 140.72
VALUE MINKNAP: 140.72
VALUE KNAP: 132.80
VALUE MINKNAP: 132.80
VALUE KNAP: 129.00
VALUE MINKNAP: 129.00
VALUE KNAP: 127.95
VALUE MINKNAP: 127.95
VALUE KNAP: 127.42
VALUE MINKNAP: 127.42
VALUE KNAP: 125.79
VALUE MINKNAP: 125.79
VALUE KNAP: 122.73
VALUE MINKNAP: 122.73
VALUE KNAP: 122.35
VALUE MINKNAP: 122.35
VALUE KNAP: 121.44
VALUE MINKNAP: 121.44
VALUE KNAP: 121.42
VALUE MINKNAP: 121.42
VALUE KNAP: 120.95
VALUE MINKNAP: 120.95
VALUE KNAP: 119.34
VALUE MINKNAP: 119.34
VALUE KNAP: 119.10
VALUE MINKNAP: 119.10
VALUE KNAP: 118.86
VALUE MINKNAP: 118.87
VALUE KNAP: 118.58
VALUE MINKNAP: 118.59
VALUE KNAP: 118.58
VALUE MINKNAP: 118.58
VALUE KNAP: 117.81
VALUE MINKNAP: 117.81
VALUE KNAP: 117.68
VALUE MINKNAP: 117.68
VALUE KNAP: 117.52
VALUE MINKNAP: 117.53
VALUE KNAP: 117.52
VALUE MINKNAP: 117.52
VALUE KNAP: 117.42
VALUE MINKNAP: 117.42
VALUE KNAP: 117.06
VALUE MINKNAP: 117.06
VALUE KNAP: 117.03
VALUE MINKNAP: 117.03
VALUE KNAP: 116.94
VALUE MINKNAP: 116.94
VALUE KNAP: 116.92
VALUE MINKNAP: 116.92
VALUE KNAP: 116.89
VALUE MINKNAP: 116.89
VALUE KNAP: 116.72
VALUE MINKNAP: 116.72
VALUE KNAP: 116.68
VALUE MINKNAP: 116.68
VALUE KNAP: 116.67
VALUE MINKNAP: 116.67
VALUE KNAP: 116.63
VALUE MINKNAP: 116.63
VALUE KNAP: 116.61
VALUE MINKNAP: 116.61
VALUE KNAP: 116.54
VALUE MINKNAP: 116.54
VALUE KNAP: 116.53
VALUE MINKNAP: 116.53
VALUE KNAP: 116.50
VALUE MINKNAP: 116.49
VALUE KNAP: 116.49
VALUE MINKNAP: 116.50
VALUE KNAP: 116.49
VALUE MINKNAP: 116.49
VALUE KNAP: 116.48
VALUE MINKNAP: 116.48
VALUE KNAP: 116.44
VALUE MINKNAP: 116.44
VALUE KNAP: 116.43
VALUE MINKNAP: 116.43
VALUE KNAP: 116.43
VALUE MINKNAP: 116.43
VALUE KNAP: 116.42
VALUE MINKNAP: 116.42
VALUE KNAP: 116.43
VALUE MINKNAP: 116.43
VALUE KNAP: 116.41
VALUE MINKNAP: 116.41
VALUE KNAP: 116.42
VALUE MINKNAP: 116.42
VALUE KNAP: 116.41
VALUE MINKNAP: 116.41
VALUE KNAP: 116.40
VALUE MINKNAP: 116.40
VALUE KNAP: 116.39
VALUE MINKNAP: 116.39
VALUE KNAP: 116.39
VALUE MINKNAP: 116.39
VALUE KNAP: 116.38
VALUE MINKNAP: 116.38
VALUE KNAP: 116.39
VALUE MINKNAP: 116.38
VALUE KNAP: 116.38
VALUE MINKNAP: 116.38
VALUE KNAP: 116.37
VALUE MINKNAP: 116.37
VALUE KNAP: 116.37
VALUE MINKNAP: 116.37
VALUE KNAP: 116.37
VALUE MINKNAP: 116.37
VALUE KNAP: 116.37
VALUE MINKNAP: 116.37
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.36
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.36
VALUE MINKNAP: 116.36
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.34
VALUE MINKNAP: 116.34
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.36
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.34
VALUE MINKNAP: 116.34
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.34
VALUE MINKNAP: 116.34
VALUE KNAP: 116.36
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.34
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.34
VALUE MINKNAP: 116.34
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.34
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
VALUE MINKNAP: 116.34
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.34
VALUE MINKNAP: 116.34
VALUE KNAP: 116.35
VALUE MINKNAP: 116.35
VALUE KNAP: 116.35
