*** pb_200rnd0100.dat ****
VALUE KNAP: 1218.00
VALUE MINKNAP: 1218.00
VALUE KNAP: 1111.71
VALUE MINKNAP: 1111.71
VALUE KNAP: 1104.60
VALUE MINKNAP: 1104.60
VALUE KNAP: 1008.88
VALUE MINKNAP: 1008.88
VALUE KNAP: 992.51
VALUE MINKNAP: 992.51
VALUE KNAP: 947.64
VALUE MINKNAP: 947.64
VALUE KNAP: 813.95
VALUE MINKNAP: 813.95
VALUE KNAP: 757.86
VALUE MINKNAP: 757.86
VALUE KNAP: 726.77
VALUE MINKNAP: 726.77
VALUE KNAP: 719.23
VALUE MINKNAP: 719.23
VALUE KNAP: 713.08
VALUE MINKNAP: 713.08
VALUE KNAP: 676.70
VALUE MINKNAP: 676.70
VALUE KNAP: 668.78
VALUE MINKNAP: 668.78
VALUE KNAP: 654.63
VALUE MINKNAP: 654.63
VALUE KNAP: 658.17
VALUE MINKNAP: 658.17
VALUE KNAP: 649.51
VALUE MINKNAP: 649.51
VALUE KNAP: 650.42
VALUE MINKNAP: 650.42
VALUE KNAP: 644.69
VALUE MINKNAP: 644.69
VALUE KNAP: 627.25
VALUE MINKNAP: 627.25
VALUE KNAP: 626.68
VALUE MINKNAP: 626.68
VALUE KNAP: 623.93
VALUE MINKNAP: 623.93
VALUE KNAP: 624.31
VALUE MINKNAP: 624.31
VALUE KNAP: 622.53
VALUE MINKNAP: 622.53
VALUE KNAP: 622.33
VALUE MINKNAP: 622.33
VALUE KNAP: 615.80
VALUE MINKNAP: 615.80
VALUE KNAP: 613.69
VALUE MINKNAP: 613.69
VALUE KNAP: 612.60
VALUE MINKNAP: 612.60
VALUE KNAP: 612.19
VALUE MINKNAP: 612.19
VALUE KNAP: 611.61
VALUE MINKNAP: 611.61
VALUE KNAP: 607.98
VALUE MINKNAP: 607.98
VALUE KNAP: 607.98
VALUE MINKNAP: 607.98
VALUE KNAP: 607.05
VALUE MINKNAP: 607.05
VALUE KNAP: 606.92
VALUE MINKNAP: 606.92
VALUE KNAP: 607.26
VALUE MINKNAP: 607.26
VALUE KNAP: 606.81
VALUE MINKNAP: 606.81
VALUE KNAP: 605.03
VALUE MINKNAP: 605.03
VALUE KNAP: 604.94
VALUE MINKNAP: 604.94
VALUE KNAP: 604.63
VALUE MINKNAP: 604.63
VALUE KNAP: 604.37
VALUE MINKNAP: 604.37
VALUE KNAP: 604.71
VALUE MINKNAP: 604.71
VALUE KNAP: 604.29
VALUE MINKNAP: 604.29
VALUE KNAP: 603.50
VALUE MINKNAP: 603.50
VALUE KNAP: 603.31
VALUE MINKNAP: 603.31
VALUE KNAP: 603.38
VALUE MINKNAP: 603.38
VALUE KNAP: 603.30
VALUE MINKNAP: 603.30
VALUE KNAP: 603.29
VALUE MINKNAP: 603.29
VALUE KNAP: 603.18
VALUE MINKNAP: 603.18
VALUE KNAP: 602.71
VALUE MINKNAP: 602.71
VALUE KNAP: 602.74
VALUE MINKNAP: 602.74
VALUE KNAP: 602.66
VALUE MINKNAP: 602.66
VALUE KNAP: 602.63
VALUE MINKNAP: 602.63
VALUE KNAP: 602.68
VALUE MINKNAP: 602.68
VALUE KNAP: 602.57
VALUE MINKNAP: 602.57
VALUE KNAP: 602.59
VALUE MINKNAP: 602.59
VALUE KNAP: 602.61
VALUE MINKNAP: 602.61
VALUE KNAP: 602.55
VALUE MINKNAP: 602.55
VALUE KNAP: 602.34
VALUE MINKNAP: 602.34
VALUE KNAP: 602.33
VALUE MINKNAP: 602.33
VALUE KNAP: 602.31
VALUE MINKNAP: 602.31
VALUE KNAP: 602.29
VALUE MINKNAP: 602.28
VALUE KNAP: 602.31
VALUE MINKNAP: 602.31
VALUE KNAP: 602.26
VALUE MINKNAP: 602.26
VALUE KNAP: 602.17
VALUE MINKNAP: 602.17
VALUE KNAP: 602.15
VALUE MINKNAP: 602.15
VALUE KNAP: 602.15
VALUE MINKNAP: 602.15
VALUE KNAP: 602.14
VALUE MINKNAP: 602.14
VALUE KNAP: 602.13
VALUE MINKNAP: 602.13
VALUE KNAP: 602.08
VALUE MINKNAP: 602.08
VALUE KNAP: 602.07
VALUE MINKNAP: 602.07
VALUE KNAP: 602.07
VALUE MINKNAP: 602.07
VALUE KNAP: 602.06
VALUE MINKNAP: 602.06
VALUE KNAP: 602.06
VALUE MINKNAP: 602.06
VALUE KNAP: 602.04
VALUE MINKNAP: 602.04
VALUE KNAP: 602.03
VALUE MINKNAP: 602.03
VALUE KNAP: 602.03
VALUE MINKNAP: 602.03
VALUE KNAP: 602.03
VALUE MINKNAP: 602.03
VALUE KNAP: 602.02
VALUE MINKNAP: 602.02
VALUE KNAP: 602.01
VALUE MINKNAP: 602.01
VALUE KNAP: 602.01
VALUE MINKNAP: 602.01
VALUE KNAP: 602.01
VALUE MINKNAP: 602.01
VALUE KNAP: 602.00
VALUE MINKNAP: 602.00
VALUE KNAP: 602.01
VALUE MINKNAP: 602.01
VALUE KNAP: 602.00
VALUE MINKNAP: 602.00
VALUE KNAP: 602.00
VALUE MINKNAP: 602.00
VALUE KNAP: 602.00
VALUE MINKNAP: 602.00
VALUE KNAP: 602.00
VALUE MINKNAP: 601.99
VALUE KNAP: 602.00
VALUE MINKNAP: 602.00
VALUE KNAP: 602.00
VALUE MINKNAP: 602.00
VALUE KNAP: 601.99
VALUE MINKNAP: 601.99
VALUE KNAP: 602.00
VALUE MINKNAP: 602.00
VALUE KNAP: 601.99
VALUE MINKNAP: 601.99
VALUE KNAP: 601.99
VALUE MINKNAP: 601.99
VALUE KNAP: 601.99
VALUE MINKNAP: 601.99
VALUE KNAP: 601.99
