*** pb_100rnd0500.dat ****
VALUE KNAP: 752.00
VALUE MINKNAP: 752.00
VALUE KNAP: 710.36
VALUE MINKNAP: 710.36
VALUE KNAP: 703.37
VALUE MINKNAP: 703.37
VALUE KNAP: 687.96
VALUE MINKNAP: 687.96
VALUE KNAP: 696.86
VALUE MINKNAP: 696.86
VALUE KNAP: 678.13
VALUE MINKNAP: 678.13
VALUE KNAP: 679.55
VALUE MINKNAP: 679.55
VALUE KNAP: 677.99
VALUE MINKNAP: 677.99
VALUE KNAP: 653.69
VALUE MINKNAP: 653.69
VALUE KNAP: 651.06
VALUE MINKNAP: 651.06
VALUE KNAP: 648.87
VALUE MINKNAP: 648.87
VALUE KNAP: 648.00
VALUE MINKNAP: 648.00
VALUE KNAP: 648.55
VALUE MINKNAP: 648.55
VALUE KNAP: 645.28
VALUE MINKNAP: 645.28
VALUE KNAP: 642.41
VALUE MINKNAP: 642.41
SI
