*** pb_200rnd1600.dat ****
VALUE MINKNAP: 600.00
VALUE KNAP: 129.00
VALUE MINKNAP: 129.00
VALUE KNAP: 141.11
VALUE MINKNAP: 141.11
VALUE KNAP: 163.62
VALUE MINKNAP: 163.62
VALUE KNAP: 154.36
VALUE MINKNAP: 154.36
VALUE KNAP: 156.94
VALUE MINKNAP: 156.94
VALUE KNAP: 155.31
VALUE MINKNAP: 155.31
VALUE KNAP: 158.17
VALUE MINKNAP: 158.17
VALUE KNAP: 154.46
VALUE MINKNAP: 154.46
VALUE KNAP: 155.71
VALUE MINKNAP: 155.71
VALUE KNAP: 156.38
VALUE MINKNAP: 156.38
VALUE KNAP: 158.77
VALUE MINKNAP: 158.77
VALUE KNAP: 155.64
VALUE MINKNAP: 155.64
VALUE KNAP: 128.85
VALUE MINKNAP: 128.85
VALUE KNAP: 124.34
VALUE MINKNAP: 124.34
VALUE KNAP: 123.63
VALUE MINKNAP: 123.63
VALUE KNAP: 122.65
VALUE MINKNAP: 122.65
VALUE KNAP: 123.24
VALUE MINKNAP: 123.24
VALUE KNAP: 121.86
VALUE MINKNAP: 121.86
VALUE KNAP: 111.67
VALUE MINKNAP: 111.67
VALUE KNAP: 112.17
VALUE MINKNAP: 112.17
VALUE KNAP: 111.19
VALUE MINKNAP: 111.19
VALUE KNAP: 111.08
VALUE MINKNAP: 111.08
VALUE KNAP: 111.11
VALUE MINKNAP: 111.11
VALUE KNAP: 111.23
VALUE MINKNAP: 111.23
VALUE KNAP: 110.77
VALUE MINKNAP: 110.77
VALUE KNAP: 111.00
VALUE MINKNAP: 111.00
VALUE KNAP: 111.14
VALUE MINKNAP: 111.14
VALUE KNAP: 110.50
VALUE MINKNAP: 110.50
VALUE KNAP: 104.76
VALUE MINKNAP: 104.76
VALUE KNAP: 105.50
VALUE MINKNAP: 105.50
VALUE KNAP: 104.62
VALUE MINKNAP: 104.62
VALUE KNAP: 105.12
VALUE MINKNAP: 105.12
VALUE KNAP: 104.86
VALUE MINKNAP: 104.86
VALUE KNAP: 104.97
VALUE MINKNAP: 104.97
VALUE KNAP: 104.85
VALUE MINKNAP: 104.85
VALUE KNAP: 105.04
VALUE MINKNAP: 105.04
VALUE KNAP: 104.92
VALUE MINKNAP: 104.92
VALUE KNAP: 102.15
VALUE MINKNAP: 102.15
VALUE KNAP: 102.96
VALUE MINKNAP: 102.96
VALUE KNAP: 102.20
VALUE MINKNAP: 102.20
VALUE KNAP: 102.76
VALUE MINKNAP: 102.76
VALUE KNAP: 102.24
VALUE MINKNAP: 102.24
VALUE KNAP: 102.67
VALUE MINKNAP: 102.67
VALUE KNAP: 102.25
VALUE MINKNAP: 102.25
VALUE KNAP: 102.61
VALUE MINKNAP: 102.61
VALUE KNAP: 102.33
VALUE MINKNAP: 102.33
VALUE KNAP: 101.19
VALUE MINKNAP: 101.19
VALUE KNAP: 101.59
VALUE MINKNAP: 101.59
VALUE KNAP: 101.18
VALUE MINKNAP: 101.18
VALUE KNAP: 101.50
VALUE MINKNAP: 101.50
VALUE KNAP: 101.23
VALUE MINKNAP: 101.23
VALUE KNAP: 101.47
VALUE MINKNAP: 101.47
VALUE KNAP: 101.26
VALUE MINKNAP: 101.26
VALUE KNAP: 101.46
VALUE MINKNAP: 101.46
VALUE KNAP: 101.24
VALUE MINKNAP: 101.24
VALUE KNAP: 100.79
VALUE MINKNAP: 100.79
VALUE KNAP: 100.91
VALUE MINKNAP: 100.91
VALUE KNAP: 100.77
VALUE MINKNAP: 100.77
VALUE KNAP: 100.90
VALUE MINKNAP: 100.89
VALUE KNAP: 100.78
VALUE MINKNAP: 100.78
VALUE KNAP: 100.88
VALUE MINKNAP: 100.88
VALUE KNAP: 100.76
VALUE MINKNAP: 100.76
VALUE KNAP: 100.89
VALUE MINKNAP: 100.89
VALUE KNAP: 100.76
VALUE MINKNAP: 100.76
VALUE KNAP: 100.55
VALUE MINKNAP: 100.54
VALUE KNAP: 100.63
VALUE MINKNAP: 100.63
VALUE KNAP: 100.53
VALUE MINKNAP: 100.53
VALUE KNAP: 100.62
VALUE MINKNAP: 100.62
VALUE KNAP: 100.54
VALUE MINKNAP: 100.54
VALUE KNAP: 100.60
VALUE MINKNAP: 100.60
VALUE KNAP: 100.55
VALUE MINKNAP: 100.54
VALUE KNAP: 100.59
VALUE MINKNAP: 100.59
VALUE KNAP: 100.56
VALUE MINKNAP: 100.56
VALUE KNAP: 100.43
VALUE MINKNAP: 100.43
VALUE KNAP: 100.47
VALUE MINKNAP: 100.47
VALUE KNAP: 100.43
VALUE MINKNAP: 100.43
VALUE KNAP: 100.46
VALUE MINKNAP: 100.46
VALUE KNAP: 100.43
VALUE MINKNAP: 100.42
VALUE KNAP: 100.47
VALUE MINKNAP: 100.47
VALUE KNAP: 100.42
VALUE MINKNAP: 100.42
VALUE KNAP: 100.47
VALUE MINKNAP: 100.47
VALUE KNAP: 100.42
VALUE MINKNAP: 100.42
VALUE KNAP: 100.37
VALUE MINKNAP: 100.37
VALUE KNAP: 100.39
VALUE MINKNAP: 100.39
VALUE KNAP: 100.38
VALUE MINKNAP: 100.38
VALUE KNAP: 100.39
VALUE MINKNAP: 100.39
VALUE KNAP: 100.38
VALUE MINKNAP: 100.38
VALUE KNAP: 100.39
VALUE MINKNAP: 100.39
VALUE KNAP: 100.38
VALUE MINKNAP: 100.38
VALUE KNAP: 100.39
VALUE MINKNAP: 100.39
VALUE KNAP: 100.37
VALUE MINKNAP: 100.37
VALUE KNAP: 100.35
VALUE MINKNAP: 100.35
VALUE KNAP: 100.36
VALUE MINKNAP: 100.35
VALUE KNAP: 100.35
VALUE MINKNAP: 100.35
VALUE KNAP: 100.35
VALUE MINKNAP: 100.35
VALUE KNAP: 100.35
VALUE MINKNAP: 100.35
VALUE KNAP: 100.35
VALUE MINKNAP: 100.36
VALUE KNAP: 100.35
VALUE MINKNAP: 100.35
VALUE KNAP: 100.35
VALUE MINKNAP: 100.35
VALUE KNAP: 100.35
VALUE MINKNAP: 100.35
VALUE KNAP: 100.34
VALUE MINKNAP: 100.34
VALUE KNAP: 100.34
VALUE MINKNAP: 100.34
VALUE KNAP: 100.34
VALUE MINKNAP: 100.34
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.34
VALUE MINKNAP: 100.34
VALUE KNAP: 100.34
VALUE MINKNAP: 100.33
VALUE KNAP: 100.34
VALUE MINKNAP: 100.34
VALUE KNAP: 100.33
VALUE MINKNAP: 100.34
VALUE KNAP: 100.34
VALUE MINKNAP: 100.34
VALUE KNAP: 100.34
VALUE MINKNAP: 100.34
VALUE KNAP: 100.34
VALUE MINKNAP: 100.34
VALUE KNAP: 100.33
VALUE MINKNAP: 100.34
VALUE KNAP: 100.32
VALUE MINKNAP: 100.32
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.33
VALUE MINKNAP: 100.32
VALUE KNAP: 100.32
VALUE MINKNAP: 100.32
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.33
VALUE MINKNAP: 100.32
VALUE KNAP: 100.33
VALUE MINKNAP: 100.32
VALUE KNAP: 100.32
VALUE MINKNAP: 100.32
