*** pb_200rnd0400.dat ****
VALUE KNAP: 124.00
VALUE MINKNAP: 124.00
VALUE KNAP: 146.11
VALUE MINKNAP: 146.11
VALUE KNAP: 171.78
VALUE MINKNAP: 171.78
VALUE KNAP: 164.72
VALUE MINKNAP: 164.72
VALUE KNAP: 176.83
VALUE MINKNAP: 176.83
VALUE KNAP: 171.40
VALUE MINKNAP: 171.40
VALUE KNAP: 180.15
VALUE MINKNAP: 180.15
VALUE KNAP: 174.58
VALUE MINKNAP: 174.58
VALUE KNAP: 176.95
VALUE MINKNAP: 176.95
VALUE KNAP: 174.38
VALUE MINKNAP: 174.38
VALUE KNAP: 135.51
VALUE MINKNAP: 135.51
VALUE KNAP: 125.19
VALUE MINKNAP: 125.19
VALUE KNAP: 127.85
VALUE MINKNAP: 127.85
VALUE KNAP: 127.03
VALUE MINKNAP: 127.03
VALUE KNAP: 124.07
VALUE MINKNAP: 124.07
VALUE KNAP: 127.70
VALUE MINKNAP: 127.70
VALUE KNAP: 128.53
VALUE MINKNAP: 128.53
VALUE KNAP: 129.71
VALUE MINKNAP: 129.71
VALUE KNAP: 128.65
VALUE MINKNAP: 128.65
VALUE KNAP: 112.14
VALUE MINKNAP: 112.14
VALUE KNAP: 115.58
VALUE MINKNAP: 115.58
VALUE KNAP: 115.31
VALUE MINKNAP: 115.31
VALUE KNAP: 116.04
VALUE MINKNAP: 116.04
VALUE KNAP: 115.82
VALUE MINKNAP: 115.82
VALUE KNAP: 115.74
VALUE MINKNAP: 115.74
VALUE KNAP: 115.88
VALUE MINKNAP: 115.88
VALUE KNAP: 115.70
VALUE MINKNAP: 115.70
VALUE KNAP: 106.91
VALUE MINKNAP: 106.91
VALUE KNAP: 106.81
VALUE MINKNAP: 106.81
VALUE KNAP: 106.81
VALUE MINKNAP: 106.81
VALUE KNAP: 106.75
VALUE MINKNAP: 106.75
VALUE KNAP: 106.70
VALUE MINKNAP: 106.70
VALUE KNAP: 102.81
VALUE MINKNAP: 102.81
VALUE KNAP: 103.79
VALUE MINKNAP: 103.79
VALUE KNAP: 102.74
VALUE MINKNAP: 102.74
VALUE KNAP: 103.49
VALUE MINKNAP: 103.49
VALUE KNAP: 102.86
VALUE MINKNAP: 102.86
VALUE KNAP: 103.42
VALUE MINKNAP: 103.42
VALUE KNAP: 102.90
VALUE MINKNAP: 102.90
VALUE KNAP: 103.35
VALUE MINKNAP: 103.35
VALUE KNAP: 102.96
VALUE MINKNAP: 102.96
VALUE KNAP: 101.41
VALUE MINKNAP: 101.41
VALUE KNAP: 101.70
VALUE MINKNAP: 101.70
VALUE KNAP: 101.37
VALUE MINKNAP: 101.37
VALUE KNAP: 101.68
VALUE MINKNAP: 101.68
VALUE KNAP: 101.38
VALUE MINKNAP: 101.38
VALUE KNAP: 101.65
VALUE MINKNAP: 101.65
VALUE KNAP: 101.40
VALUE MINKNAP: 101.40
VALUE KNAP: 101.63
VALUE MINKNAP: 101.63
VALUE KNAP: 101.42
VALUE MINKNAP: 101.42
VALUE KNAP: 100.73
VALUE MINKNAP: 100.73
VALUE KNAP: 100.81
VALUE MINKNAP: 100.81
VALUE KNAP: 100.71
VALUE MINKNAP: 100.71
VALUE KNAP: 100.79
VALUE MINKNAP: 100.79
VALUE KNAP: 100.72
VALUE MINKNAP: 100.72
VALUE KNAP: 100.79
VALUE MINKNAP: 100.78
VALUE KNAP: 100.71
VALUE MINKNAP: 100.71
VALUE KNAP: 100.78
VALUE MINKNAP: 100.78
VALUE KNAP: 100.72
VALUE MINKNAP: 100.72
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.45
VALUE MINKNAP: 100.44
VALUE KNAP: 100.33
VALUE MINKNAP: 100.33
VALUE KNAP: 100.42
VALUE MINKNAP: 100.42
VALUE KNAP: 100.33
VALUE MINKNAP: 100.32
VALUE KNAP: 100.42
VALUE MINKNAP: 100.42
VALUE KNAP: 100.32
VALUE MINKNAP: 100.31
VALUE KNAP: 100.41
VALUE MINKNAP: 100.41
VALUE KNAP: 100.32
VALUE MINKNAP: 100.32
VALUE KNAP: 100.16
VALUE MINKNAP: 100.16
VALUE KNAP: 100.22
VALUE MINKNAP: 100.22
VALUE KNAP: 100.16
VALUE MINKNAP: 100.16
VALUE KNAP: 100.21
VALUE MINKNAP: 100.21
VALUE KNAP: 100.16
VALUE MINKNAP: 100.16
VALUE KNAP: 100.20
VALUE MINKNAP: 100.20
VALUE KNAP: 100.16
VALUE MINKNAP: 100.16
VALUE KNAP: 100.20
VALUE MINKNAP: 100.20
VALUE KNAP: 100.16
VALUE MINKNAP: 100.16
VALUE KNAP: 100.08
VALUE MINKNAP: 100.08
VALUE KNAP: 100.10
VALUE MINKNAP: 100.10
VALUE KNAP: 100.08
VALUE MINKNAP: 100.08
VALUE KNAP: 100.10
VALUE MINKNAP: 100.10
VALUE KNAP: 100.09
VALUE MINKNAP: 100.09
VALUE KNAP: 100.10
VALUE MINKNAP: 100.10
VALUE KNAP: 100.08
VALUE MINKNAP: 100.08
VALUE KNAP: 100.10
VALUE MINKNAP: 100.10
VALUE KNAP: 100.08
VALUE MINKNAP: 100.08
VALUE KNAP: 100.04
VALUE MINKNAP: 100.04
VALUE KNAP: 100.05
VALUE MINKNAP: 100.05
VALUE KNAP: 100.04
VALUE MINKNAP: 100.04
VALUE KNAP: 100.05
VALUE MINKNAP: 100.05
VALUE KNAP: 100.04
VALUE MINKNAP: 100.04
VALUE KNAP: 100.05
VALUE MINKNAP: 100.05
VALUE KNAP: 100.04
VALUE MINKNAP: 100.04
VALUE KNAP: 100.05
VALUE MINKNAP: 100.05
VALUE KNAP: 100.04
VALUE MINKNAP: 100.04
VALUE KNAP: 100.02
VALUE MINKNAP: 100.02
VALUE KNAP: 100.02
VALUE MINKNAP: 100.03
VALUE KNAP: 100.02
VALUE MINKNAP: 100.02
VALUE KNAP: 100.02
VALUE MINKNAP: 100.02
VALUE KNAP: 100.02
VALUE MINKNAP: 100.02
VALUE KNAP: 100.02
VALUE MINKNAP: 100.02
VALUE KNAP: 100.02
VALUE MINKNAP: 100.02
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.02
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.01
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.00
VALUE MINKNAP: 99.99
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.01
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.01
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 99.99
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 99.99
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 99.99
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 99.99
VALUE KNAP: 100.01
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 100.00
VALUE KNAP: 100.00
VALUE MINKNAP: 99.99
