*** pb_100rnd0800.dat ****
VALUE KNAP: 105.00
VALUE MINKNAP: 105.00
VALUE KNAP: 54.67
VALUE MINKNAP: 54.67
VALUE KNAP: 50.60
VALUE MINKNAP: 50.65
VALUE KNAP: 52.63
VALUE MINKNAP: 52.63
VALUE KNAP: 49.72
VALUE MINKNAP: 49.72
VALUE KNAP: 50.54
VALUE MINKNAP: 50.69
VALUE KNAP: 48.68
VALUE MINKNAP: 48.68
VALUE KNAP: 48.73
VALUE MINKNAP: 48.89
VALUE KNAP: 47.27
VALUE MINKNAP: 47.37
VALUE KNAP: 44.68
VALUE MINKNAP: 44.68
VALUE KNAP: 42.79
VALUE MINKNAP: 42.83
VALUE KNAP: 42.94
VALUE MINKNAP: 42.94
VALUE KNAP: 42.52
VALUE MINKNAP: 42.55
VALUE KNAP: 42.11
VALUE MINKNAP: 42.11
VALUE KNAP: 42.33
VALUE MINKNAP: 42.39
VALUE KNAP: 41.80
VALUE MINKNAP: 41.80
VALUE KNAP: 41.14
VALUE MINKNAP: 41.14
VALUE KNAP: 40.77
VALUE MINKNAP: 40.77
VALUE KNAP: 40.50
VALUE MINKNAP: 40.50
VALUE KNAP: 40.67
VALUE MINKNAP: 40.67
VALUE KNAP: 40.33
VALUE MINKNAP: 40.33
VALUE KNAP: 40.41
VALUE MINKNAP: 40.41
VALUE KNAP: 40.32
VALUE MINKNAP: 40.33
VALUE KNAP: 39.97
VALUE MINKNAP: 39.97
VALUE KNAP: 39.80
VALUE MINKNAP: 39.80
VALUE KNAP: 39.80
VALUE MINKNAP: 39.80
VALUE KNAP: 39.75
VALUE MINKNAP: 39.75
VALUE KNAP: 39.74
VALUE MINKNAP: 39.74
VALUE KNAP: 39.62
VALUE MINKNAP: 39.62
VALUE KNAP: 39.55
VALUE MINKNAP: 39.55
VALUE KNAP: 39.51
VALUE MINKNAP: 39.51
VALUE KNAP: 39.50
VALUE MINKNAP: 39.50
VALUE KNAP: 39.51
VALUE MINKNAP: 39.51
VALUE KNAP: 39.46
VALUE MINKNAP: 39.46
VALUE KNAP: 39.44
VALUE MINKNAP: 39.44
VALUE KNAP: 39.41
VALUE MINKNAP: 39.42
VALUE KNAP: 39.42
VALUE MINKNAP: 39.42
VALUE KNAP: 39.41
VALUE MINKNAP: 39.41
VALUE KNAP: 39.41
VALUE MINKNAP: 39.41
VALUE KNAP: 39.39
VALUE MINKNAP: 39.39
VALUE KNAP: 39.42
VALUE MINKNAP: 39.42
VALUE KNAP: 39.39
VALUE MINKNAP: 39.39
VALUE KNAP: 39.37
VALUE MINKNAP: 39.37
VALUE KNAP: 39.37
VALUE MINKNAP: 39.37
VALUE KNAP: 39.36
VALUE MINKNAP: 39.36
VALUE KNAP: 39.36
VALUE MINKNAP: 39.36
VALUE KNAP: 39.36
VALUE MINKNAP: 39.36
VALUE KNAP: 39.35
VALUE MINKNAP: 39.35
VALUE KNAP: 39.35
VALUE MINKNAP: 39.35
VALUE KNAP: 39.35
VALUE MINKNAP: 39.35
VALUE KNAP: 39.34
VALUE MINKNAP: 39.34
VALUE KNAP: 39.34
VALUE MINKNAP: 39.34
VALUE KNAP: 39.34
VALUE MINKNAP: 39.34
VALUE KNAP: 39.34
VALUE MINKNAP: 39.34
VALUE KNAP: 39.33
VALUE MINKNAP: 39.33
VALUE KNAP: 39.33
VALUE MINKNAP: 39.33
VALUE KNAP: 39.33
VALUE MINKNAP: 39.33
VALUE KNAP: 39.33
VALUE MINKNAP: 39.33
VALUE KNAP: 39.33
VALUE MINKNAP: 39.33
VALUE KNAP: 39.33
VALUE MINKNAP: 39.33
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.31
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
VALUE MINKNAP: 39.32
VALUE KNAP: 39.32
