*** pb_1000rnd0600.dat ****
VALUE KNAP: 58.00
VALUE MINKNAP: 58.00
VALUE KNAP: 56.35
VALUE MINKNAP: 56.35
VALUE KNAP: 54.53
VALUE MINKNAP: 54.53
VALUE KNAP: 55.26
VALUE MINKNAP: 55.26
VALUE KNAP: 51.78
VALUE MINKNAP: 51.78
VALUE KNAP: 51.19
VALUE MINKNAP: 51.19
VALUE KNAP: 43.90
VALUE MINKNAP: 43.90
VALUE KNAP: 42.35
VALUE MINKNAP: 42.35
VALUE KNAP: 41.73
VALUE MINKNAP: 41.73
VALUE KNAP: 40.77
VALUE MINKNAP: 40.77
VALUE KNAP: 40.76
VALUE MINKNAP: 40.76
VALUE KNAP: 36.61
VALUE MINKNAP: 36.61
VALUE KNAP: 36.12
VALUE MINKNAP: 36.12
VALUE KNAP: 35.41
VALUE MINKNAP: 35.41
VALUE KNAP: 35.54
VALUE MINKNAP: 35.54
VALUE KNAP: 34.41
VALUE MINKNAP: 34.41
VALUE KNAP: 35.10
VALUE MINKNAP: 35.10
VALUE KNAP: 34.70
VALUE MINKNAP: 34.70
VALUE KNAP: 33.50
VALUE MINKNAP: 33.50
VALUE KNAP: 32.98
VALUE MINKNAP: 32.98
VALUE KNAP: 32.95
VALUE MINKNAP: 32.95
VALUE KNAP: 32.68
VALUE MINKNAP: 32.68
VALUE KNAP: 32.34
VALUE MINKNAP: 32.34
VALUE KNAP: 32.06
VALUE MINKNAP: 32.06
VALUE KNAP: 31.84
VALUE MINKNAP: 31.84
VALUE KNAP: 31.72
VALUE MINKNAP: 31.72
VALUE KNAP: 31.73
VALUE MINKNAP: 31.73
VALUE KNAP: 31.63
VALUE MINKNAP: 31.63
VALUE KNAP: 31.57
VALUE MINKNAP: 31.57
VALUE KNAP: 31.38
VALUE MINKNAP: 31.38
VALUE KNAP: 31.27
VALUE MINKNAP: 31.27
VALUE KNAP: 31.24
VALUE MINKNAP: 31.24
VALUE KNAP: 31.19
VALUE MINKNAP: 31.19
VALUE KNAP: 31.18
VALUE MINKNAP: 31.18
VALUE KNAP: 31.05
VALUE MINKNAP: 31.05
VALUE KNAP: 31.01
VALUE MINKNAP: 31.01
VALUE KNAP: 30.96
VALUE MINKNAP: 30.95
VALUE KNAP: 30.96
VALUE MINKNAP: 30.96
VALUE KNAP: 30.93
VALUE MINKNAP: 30.93
VALUE KNAP: 30.92
VALUE MINKNAP: 30.92
VALUE KNAP: 30.87
VALUE MINKNAP: 30.87
VALUE KNAP: 30.85
VALUE MINKNAP: 30.85
VALUE KNAP: 30.84
VALUE MINKNAP: 30.84
VALUE KNAP: 30.82
VALUE MINKNAP: 30.82
VALUE KNAP: 30.82
VALUE MINKNAP: 30.82
VALUE KNAP: 30.78
VALUE MINKNAP: 30.78
VALUE KNAP: 30.78
VALUE MINKNAP: 30.78
VALUE KNAP: 30.77
VALUE MINKNAP: 30.77
VALUE KNAP: 30.77
VALUE MINKNAP: 30.77
VALUE KNAP: 30.76
VALUE MINKNAP: 30.76
VALUE KNAP: 30.76
VALUE MINKNAP: 30.76
VALUE KNAP: 30.75
VALUE MINKNAP: 30.75
VALUE KNAP: 30.74
VALUE MINKNAP: 30.74
VALUE KNAP: 30.74
VALUE MINKNAP: 30.74
VALUE KNAP: 30.74
VALUE MINKNAP: 30.74
VALUE KNAP: 30.73
VALUE MINKNAP: 30.73
VALUE KNAP: 30.73
VALUE MINKNAP: 30.73
VALUE KNAP: 30.73
VALUE MINKNAP: 30.73
VALUE KNAP: 30.72
VALUE MINKNAP: 30.72
VALUE KNAP: 30.72
VALUE MINKNAP: 30.72
VALUE KNAP: 30.72
VALUE MINKNAP: 30.72
VALUE KNAP: 30.72
VALUE MINKNAP: 30.72
VALUE KNAP: 30.72
VALUE MINKNAP: 30.72
VALUE KNAP: 30.72
VALUE MINKNAP: 30.72
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.72
VALUE MINKNAP: 30.71
VALUE KNAP: 30.72
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.70
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.70
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.70
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.70
VALUE KNAP: 30.70
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.70
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.70
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.70
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.70
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.70
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.70
VALUE MINKNAP: 30.70
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
