*** pb_200rnd1400.dat ****
VALUE KNAP: 92.00
VALUE MINKNAP: 92.00
VALUE KNAP: 93.79
VALUE MINKNAP: 93.79
VALUE KNAP: 103.09
VALUE MINKNAP: 103.09
VALUE KNAP: 101.16
VALUE MINKNAP: 101.16
VALUE KNAP: 96.12
VALUE MINKNAP: 96.12
VALUE KNAP: 97.29
VALUE MINKNAP: 97.29
VALUE KNAP: 91.53
VALUE MINKNAP: 91.53
VALUE KNAP: 90.62
VALUE MINKNAP: 90.62
VALUE KNAP: 79.38
VALUE MINKNAP: 79.38
VALUE KNAP: 72.85
VALUE MINKNAP: 72.85
VALUE KNAP: 70.55
VALUE MINKNAP: 70.55
VALUE KNAP: 67.81
VALUE MINKNAP: 67.81
VALUE KNAP: 67.12
VALUE MINKNAP: 67.12
VALUE KNAP: 63.19
VALUE MINKNAP: 63.19
VALUE KNAP: 62.47
VALUE MINKNAP: 62.47
VALUE KNAP: 61.76
VALUE MINKNAP: 61.76
VALUE KNAP: 61.85
VALUE MINKNAP: 61.85
VALUE KNAP: 61.37
VALUE MINKNAP: 61.37
VALUE KNAP: 60.81
VALUE MINKNAP: 60.81
VALUE KNAP: 59.56
VALUE MINKNAP: 59.56
VALUE KNAP: 59.16
VALUE MINKNAP: 59.16
VALUE KNAP: 58.95
VALUE MINKNAP: 58.95
VALUE KNAP: 58.74
VALUE MINKNAP: 58.74
VALUE KNAP: 58.75
VALUE MINKNAP: 58.75
VALUE KNAP: 58.59
VALUE MINKNAP: 58.59
VALUE KNAP: 58.02
VALUE MINKNAP: 58.02
VALUE KNAP: 57.89
VALUE MINKNAP: 57.89
VALUE KNAP: 57.73
VALUE MINKNAP: 57.73
VALUE KNAP: 57.76
VALUE MINKNAP: 57.76
VALUE KNAP: 57.67
VALUE MINKNAP: 57.67
VALUE KNAP: 57.65
VALUE MINKNAP: 57.65
VALUE KNAP: 57.38
VALUE MINKNAP: 57.38
VALUE KNAP: 57.32
VALUE MINKNAP: 57.32
VALUE KNAP: 57.27
VALUE MINKNAP: 57.27
VALUE KNAP: 57.26
VALUE MINKNAP: 57.26
VALUE KNAP: 57.25
VALUE MINKNAP: 57.25
VALUE KNAP: 57.09
VALUE MINKNAP: 57.09
VALUE KNAP: 57.10
VALUE MINKNAP: 57.10
VALUE KNAP: 57.05
VALUE MINKNAP: 57.05
VALUE KNAP: 57.05
VALUE MINKNAP: 57.05
VALUE KNAP: 57.03
VALUE MINKNAP: 57.03
VALUE KNAP: 57.01
VALUE MINKNAP: 57.01
VALUE KNAP: 57.02
VALUE MINKNAP: 57.02
VALUE KNAP: 57.01
VALUE MINKNAP: 57.01
VALUE KNAP: 56.94
VALUE MINKNAP: 56.94
VALUE KNAP: 56.94
VALUE MINKNAP: 56.94
VALUE KNAP: 56.92
VALUE MINKNAP: 56.92
VALUE KNAP: 56.93
VALUE MINKNAP: 56.93
VALUE KNAP: 56.91
VALUE MINKNAP: 56.91
VALUE KNAP: 56.92
VALUE MINKNAP: 56.92
VALUE KNAP: 56.91
VALUE MINKNAP: 56.91
VALUE KNAP: 56.88
VALUE MINKNAP: 56.88
VALUE KNAP: 56.86
VALUE MINKNAP: 56.87
VALUE KNAP: 56.86
VALUE MINKNAP: 56.86
VALUE KNAP: 56.86
VALUE MINKNAP: 56.86
VALUE KNAP: 56.86
VALUE MINKNAP: 56.86
VALUE KNAP: 56.86
VALUE MINKNAP: 56.86
VALUE KNAP: 56.84
VALUE MINKNAP: 56.84
VALUE KNAP: 56.84
VALUE MINKNAP: 56.84
