*** pb_200rnd0600.dat ****
VALUE KNAP: 53.00
VALUE MINKNAP: 53.00
VALUE KNAP: 53.38
VALUE MINKNAP: 53.38
VALUE KNAP: 56.02
VALUE MINKNAP: 56.02
VALUE KNAP: 50.28
VALUE MINKNAP: 50.28
VALUE KNAP: 51.56
VALUE MINKNAP: 51.56
VALUE KNAP: 48.96
VALUE MINKNAP: 48.96
VALUE KNAP: 49.62
VALUE MINKNAP: 49.62
VALUE KNAP: 47.69
VALUE MINKNAP: 47.69
VALUE KNAP: 51.67
VALUE MINKNAP: 51.67
VALUE KNAP: 46.29
VALUE MINKNAP: 46.29
VALUE KNAP: 41.57
VALUE MINKNAP: 41.57
VALUE KNAP: 40.66
VALUE MINKNAP: 40.66
VALUE KNAP: 38.69
VALUE MINKNAP: 38.69
VALUE KNAP: 36.58
VALUE MINKNAP: 36.58
VALUE KNAP: 36.88
VALUE MINKNAP: 36.88
VALUE KNAP: 36.80
VALUE MINKNAP: 36.80
VALUE KNAP: 33.69
VALUE MINKNAP: 33.69
VALUE KNAP: 32.89
VALUE MINKNAP: 32.89
VALUE KNAP: 32.12
VALUE MINKNAP: 32.12
VALUE KNAP: 31.80
VALUE MINKNAP: 31.80
VALUE KNAP: 31.78
VALUE MINKNAP: 31.78
VALUE KNAP: 30.71
VALUE MINKNAP: 30.71
VALUE KNAP: 30.26
VALUE MINKNAP: 30.26
VALUE KNAP: 30.18
VALUE MINKNAP: 30.18
VALUE KNAP: 29.77
VALUE MINKNAP: 29.77
VALUE KNAP: 29.92
VALUE MINKNAP: 29.92
VALUE KNAP: 29.86
VALUE MINKNAP: 29.86
VALUE KNAP: 29.38
VALUE MINKNAP: 29.38
VALUE KNAP: 29.19
VALUE MINKNAP: 29.19
VALUE KNAP: 29.02
VALUE MINKNAP: 29.02
VALUE KNAP: 29.14
VALUE MINKNAP: 29.14
VALUE KNAP: 29.02
VALUE MINKNAP: 29.02
VALUE KNAP: 28.90
VALUE MINKNAP: 28.90
VALUE KNAP: 28.72
VALUE MINKNAP: 28.72
VALUE KNAP: 28.64
VALUE MINKNAP: 28.64
VALUE KNAP: 28.57
VALUE MINKNAP: 28.56
VALUE KNAP: 28.55
VALUE MINKNAP: 28.55
VALUE KNAP: 28.59
VALUE MINKNAP: 28.59
VALUE KNAP: 28.55
VALUE MINKNAP: 28.55
VALUE KNAP: 28.45
VALUE MINKNAP: 28.45
